Dataset,Model,AUC,ACC,LOSS,n_samples
DodgerLoopGame,Informer,0.471170,0.434783,0.693163,138
DodgerLoopGame,TS2Vec,0.625210,0.427536,0.692051,138
DodgerLoopGame,Two-Tower,0.777567,0.731884,0.598922,138
DodgerLoopWeekend,FEDformer,0.541667,0.739130,0.677179,138
DodgerLoopWeekend,Informer,0.955338,0.927536,0.611246,138
DodgerLoopWeekend,TS2Vec,0.223856,0.731884,0.679790,138
DodgerLoopWeekend,Two-Tower,0.982026,0.978261,0.162874,138
ECG200,FEDformer,0.878038,0.750000,0.447968,100
ECG200,Informer,0.861111,0.740000,0.495974,100
ECG200,TS2Vec,0.697049,0.640000,0.647021,100
ECG200,Two-Tower,0.850260,0.670000,0.572238,100
ECG5000,FEDformer,0.822990,0.930889,0.086073,4500
ECG5000,Informer,0.705824,0.927778,0.109814,4500
ECG5000,TS2Vec,0.738565,0.873111,0.233524,4500
ECG5000,Two-Tower,0.918075,0.935778,0.078855,4500
ECGFiveDays,FEDformer,0.973646,0.646922,0.629603,861
ECGFiveDays,Informer,0.817163,0.632985,0.595589,861
ECGFiveDays,TS2Vec,0.870200,0.497096,0.696327,861
ECGFiveDays,Two-Tower,0.925250,0.716609,0.528747,861
EOGHorizontalSignal,FEDformer,0.642543,0.190608,0.267346,362
EOGHorizontalSignal,Informer,0.787194,0.245856,0.252916,362
EOGHorizontalSignal,TS2Vec,0.696224,0.339779,0.276562,362
EOGHorizontalSignal,Two-Tower,0.855209,0.464088,0.249147,362
EOGVerticalSignal,FEDformer,0.616999,0.116022,0.280202,362
EOGVerticalSignal,Informer,0.770537,0.251381,0.265177,362
EOGVerticalSignal,TS2Vec,0.691038,0.312155,0.276315,362
EOGVerticalSignal,Two-Tower,0.850673,0.441989,0.257260,362
Earthquakes,FEDformer,0.702473,0.748201,0.519384,139
Earthquakes,Informer,0.680769,0.748201,0.529925,139
Earthquakes,TS2Vec,0.655769,0.748201,0.568472,139
Earthquakes,Two-Tower,0.578022,0.733813,0.583525,139
EthanolLevel,FEDformer,0.600897,0.334000,0.549274,500
EthanolLevel,Informer,0.544621,0.248000,0.577227,500
EthanolLevel,TS2Vec,0.519326,0.242000,0.562024,500
EthanolLevel,Two-Tower,0.562463,0.298000,0.567459,500
FaceAll,FEDformer,0.862548,0.635503,0.201186,1690
FaceAll,Informer,0.801310,0.414201,0.226163,1690
FaceAll,TS2Vec,0.782418,0.450888,0.252220,1690
FaceAll,Two-Tower,0.948036,0.718343,0.151754,1690
FaceFour,FEDformer,0.661882,0.320988,0.589531,81
FaceFour,Informer,0.813369,0.320988,0.588951,81
FaceFour,TS2Vec,0.634964,0.456790,0.584615,81
FaceFour,Two-Tower,0.906479,0.716049,0.358023,81
FacesUCR,FEDformer,0.733130,0.236098,0.232367,2050
FacesUCR,Informer,0.713958,0.316098,0.238329,2050
FacesUCR,TS2Vec,0.614698,0.145854,0.257835,2050
FacesUCR,Two-Tower,0.941025,0.745366,0.119065,2050
FiftyWords,FEDformer,0.737208,0.263736,0.081709,455
FiftyWords,Informer,0.591826,0.153846,0.090729,455
FiftyWords,TS2Vec,0.516981,0.202198,0.091758,455
FiftyWords,Two-Tower,0.896044,0.657143,0.044706,455
Fish,FEDformer,0.874472,0.554286,0.362782,175
Fish,Informer,0.799364,0.274286,0.419535,175
