Dataset,FEDformer AUC,FEDformer ACC,FEDformer LOSS,FEDformer N,Informer AUC,Informer ACC,Informer LOSS,Informer N,TS2Vec AUC,TS2Vec ACC,TS2Vec LOSS,TS2Vec N,Two-Tower AUC,Two-Tower ACC,Two-Tower LOSS,Two-Tower N
FordA,0.700096,0.643939,0.637196,1320,0.924216,0.827273,0.337816,1320,0.961844,0.903030,0.389541,1320,0.582592,0.568939,0.694685,1320
FordB,0.640081,0.601235,0.721945,810,0.733643,0.665432,0.740526,810,0.816852,0.756790,0.549158,810,0.492455,0.502469,0.693945,810
FreezerRegularTrain,0.981125,0.927719,0.405084,2850,0.816702,0.778947,0.529237,2850,0.817311,0.776842,0.659120,2850,0.943235,0.931930,0.256584,2850
FreezerSmallTrain,0.953242,0.792632,0.660786,2850,0.794904,0.751228,0.556167,2850,0.847287,0.799649,0.681164,2850,0.834136,0.755789,0.523981,2850
GestureMidAirD1,0.708985,0.153846,0.155393,130,0.686585,0.038462,0.167904,130,0.556985,0.138462,0.205854,130,0.950523,0.561538,0.078192,130
GestureMidAirD2,0.697292,0.138462,0.155959,130,0.730831,0.053846,0.167650,130,0.565108,0.069231,0.196700,130,0.958462,0.523077,0.082428,130
GestureMidAirD3,0.664246,0.115385,0.158351,130,0.686400,0.038462,0.167870,130,0.532677,0.038462,0.198979,130,0.912123,0.469231,0.103979,130
GesturePebbleZ1,0.770214,0.360465,0.377422,172,0.818455,0.453488,0.399438,172,0.532639,0.168605,0.456602,172,0.962838,0.825581,0.181829,172
GesturePebbleZ2,0.782490,0.398734,0.377654,158,0.803323,0.468354,0.392224,158,0.534675,0.208861,0.451984,158,0.957379,0.791139,0.212573,158
GunPoint,0.992710,0.946667,0.311644,150,0.851707,0.726667,0.585844,150,0.387624,0.493333,0.696384,150,0.977418,0.913333,0.309819,150
GunPointAgeSpan,0.998397,0.971519,0.092742,316,0.978646,0.917722,0.234265,316,0.800280,0.727848,0.678459,316,0.984696,0.927215,0.179953,316
GunPointMaleVersusFemale,0.995341,0.987342,0.155511,316,0.997590,0.939873,0.157441,316,0.995863,0.822785,0.629623,316,0.998956,0.984177,0.041057,316
GunPointOldVersusYoung,0.971354,0.926984,0.281282,315,0.938061,0.885714,0.351405,315,0.694747,0.634921,0.678243,315,0.987313,0.961905,0.175401,315
Ham,0.803195,0.695238,0.650776,105,0.722222,0.676190,0.640748,105,0.695352,0.523810,0.687616,105,0.833333,0.714286,0.516650,105
HandOutlines,0.906602,0.848649,0.374991,370,0.929920,0.897297,0.298742,370,0.726500,0.640541,0.638228,370,0.928682,0.905405,0.312376,370
