baseline,AUC improvement,ACC improvement,LOSS improvement,datasets
Correlation Two-Tower,0.005326244995488501,0.0060999038299025254,0.004028750603066518,124
Transformer-only,0.014545136075001002,0.016508378212462167,0.016502315852621748,124
