Dataset,Model,AUC,ACC,LOSS,n_samples
EOGVerticalSignal,Transformer-only,0.851484,0.425414,0.257046,362
EOGVerticalSignal,Two-Tower,0.850673,0.441989,0.257260,362
Earthquakes,Correlation Two-Tower,0.576099,0.733813,0.585078,139
Earthquakes,Transformer-only,0.612088,0.748201,0.560739,139
Earthquakes,Two-Tower,0.578022,0.733813,0.583525,139
EthanolLevel,Correlation Two-Tower,0.562731,0.290000,0.564172,500
EthanolLevel,Transformer-only,0.663729,0.370000,0.542278,500
EthanolLevel,Two-Tower,0.562463,0.298000,0.567459,500
FaceAll,Correlation Two-Tower,0.947079,0.716568,0.152448,1690
FaceAll,Transformer-only,0.939713,0.717160,0.161993,1690
FaceAll,Two-Tower,0.948036,0.718343,0.151754,1690
FaceFour,Correlation Two-Tower,0.905358,0.740741,0.355924,81
FaceFour,Transformer-only,0.922407,0.716049,0.337025,81
FaceFour,Two-Tower,0.906479,0.716049,0.358023,81
FacesUCR,Correlation Two-Tower,0.942440,0.756098,0.117847,2050
FacesUCR,Transformer-only,0.929466,0.739024,0.123175,2050
FacesUCR,Two-Tower,0.941025,0.745366,0.119065,2050
FiftyWords,Correlation Two-Tower,0.895009,0.659341,0.044666,455
FiftyWords,Transformer-only,0.896745,0.663736,0.045655,455
FiftyWords,Two-Tower,0.896044,0.657143,0.044706,455
Fish,Correlation Two-Tower,0.927472,0.765714,0.184820,175
Fish,Transformer-only,0.921288,0.737143,0.197540,175
Fish,Two-Tower,0.928492,0.760000,0.184456,175
FordA,Correlation Two-Tower,0.576481,0.584848,0.685920,1320
FordA,Transformer-only,0.491308,0.515909,0.701881,1320
FordA,Two-Tower,0.582592,0.568939,0.694685,1320
FordB,Correlation Two-Tower,0.515021,0.512346,0.693032,810
FordB,Transformer-only,0.504625,0.502469,0.701599,810
FordB,Two-Tower,0.492455,0.502469,0.693945,810
FreezerRegularTrain,Correlation Two-Tower,0.942813,0.931228,0.258409,2850
FreezerRegularTrain,Transformer-only,0.947290,0.917895,0.266628,2850
FreezerRegularTrain,Two-Tower,0.943235,0.931930,0.256584,2850
FreezerSmallTrain,Correlation Two-Tower,0.829047,0.751930,0.528033,2850
FreezerSmallTrain,Transformer-only,0.822091,0.742807,0.546092,2850
FreezerSmallTrain,Two-Tower,0.834136,0.755789,0.523981,2850
GestureMidAirD1,Correlation Two-Tower,0.950954,0.584615,0.077886,130
GestureMidAirD1,Transformer-only,0.953846,0.569231,0.078051,130
GestureMidAirD1,Two-Tower,0.950523,0.561538,0.078192,130
GestureMidAirD2,Correlation Two-Tower,0.959385,0.530769,0.082040,130
GestureMidAirD2,Transformer-only,0.954954,0.561538,0.081724,130
GestureMidAirD2,Two-Tower,0.958462,0.523077,0.082428,130
GestureMidAirD3,Correlation Two-Tower,0.913354,0.453846,0.103975,130
GestureMidAirD3,Transformer-only,0.907262,0.469231,0.106858,130
GestureMidAirD3,Two-Tower,0.912123,0.469231,0.103979,130
GesturePebbleZ1,Correlation Two-Tower,0.967606,0.837209,0.172673,172
GesturePebbleZ1,Transformer-only,0.952353,0.796512,0.207217,172
GesturePebbleZ1,Two-Tower,0.962838,0.825581,0.181829,172
GesturePebbleZ2,Correlation Two-Tower,0.965791,0.803797,0.198944,158
GesturePebbleZ2,Transformer-only,0.961411,0.784810,0.204846,158
GesturePebbleZ2,Two-Tower,0.957379,0.791139,0.212573,158
GunPoint,Correlation Two-Tower,0.977063,0.900000,0.322296,150
GunPoint,Transformer-only,0.955192,0.846667,0.458300,150
GunPoint,Two-Tower,0.977418,0.913333,0.309819,150
GunPointAgeSpan,Correlation Two-Tower,0.979247,0.917722,0.203065,316
GunPointAgeSpan,Transformer-only,0.981010,0.898734,0.208752,316
GunPointAgeSpan,Two-Tower,0.984696,0.927215,0.179953,316
GunPointMaleVersusFemale,Correlation Two-Tower,0.998835,0.981013,0.044345,316
GunPointMaleVersusFemale,Transformer-only,0.996867,0.971519,0.070186,316
GunPointMaleVersusFemale,Two-Tower,0.998956,0.984177,0.041057,316
GunPointOldVersusYoung,Correlation Two-Tower,0.982384,0.952381,0.191912,315
GunPointOldVersusYoung,Transformer-only,0.969091,0.917460,0.240140,315
GunPointOldVersusYoung,Two-Tower,0.987313,0.961905,0.175401,315
Ham,Correlation Two-Tower,0.839143,0.742857,0.498527,105
Ham,Transformer-only,0.855483,0.761905,0.470234,105
Ham,Two-Tower,0.833333,0.714286,0.516650,105
HandOutlines,Correlation Two-Tower,0.928714,0.905405,0.315693,370
HandOutlines,Transformer-only,0.943149,0.897297,0.299740,370
HandOutlines,Two-Tower,0.928682,0.905405,0.312376,370
Haptics,Correlation Two-Tower,0.730762,0.422078,0.496344,308
Haptics,Transformer-only,0.736863,0.422078,0.489022,308
Haptics,Two-Tower,0.730703,0.431818,0.496161,308
Herring,Correlation Two-Tower,0.624494,0.593750,0.670309,64
Herring,Transformer-only,0.519231,0.593750,0.675958,64
Herring,Two-Tower,0.574899,0.593750,0.673436,64
HouseTwenty,Correlation Two-Tower,0.870145,0.840336,0.456115,119
HouseTwenty,Transformer-only,0.797971,0.537815,0.663523,119
HouseTwenty,Two-Tower,0.871304,0.840336,0.454864,119
InlineSkate,Correlation Two-Tower,0.555104,0.161818,0.445500,550
InlineSkate,Transformer-only,0.551673,0.152727,0.451289,550
InlineSkate,Two-Tower,0.556289,0.160000,0.445015,550
InsectEPGRegularTrain,Correlation Two-Tower,0.835965,0.686747,0.421585,249
InsectEPGRegularTrain,Transformer-only,0.811624,0.686747,0.434593,249
InsectEPGRegularTrain,Two-Tower,0.838442,0.690763,0.415487,249
