dataset,auc_margin,acc_margin,loss_margin,min_margin,dominant_metrics,strictly_dominates_all_baselines
GunPointAgeSpan,-0.013702,-0.044304,-0.087212,-0.087212,0,False
ECG200,-0.027778,-0.080000,-0.124270,-0.124270,0,False
Earthquakes,-0.124451,-0.014388,-0.064141,-0.124451,0,False
WormsTwoClass,-0.138430,-0.051948,-0.021145,-0.138430,0,False
ToeSegmentation2,-0.150943,-0.130769,-0.090156,-0.150943,0,False
TwoPatterns,-0.038333,-0.153904,-0.099008,-0.153904,0,False
Worms,-0.164597,-0.103896,-0.145954,-0.164597,0,False
HouseTwenty,-0.114493,-0.134454,-0.182635,-0.182635,0,False
RefrigerationDevices,-0.054354,-0.118132,-0.192538,-0.192538,0,False
ToeSegmentation1,-0.158256,-0.192982,-0.083198,-0.192982,0,False
FordB,-0.324397,-0.254321,-0.144787,-0.324397,0,False
BirdChicken,-0.330000,-0.300000,-0.171361,-0.330000,0,False
ShapeletSim,-0.373210,-0.044444,-0.028538,-0.373210,0,False
FordA,-0.379252,-0.334091,-0.356869,-0.379252,0,False
